"date","true","true_lag","model","lag","startdt","enddt","h","pred","forecastdate"
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2016-04-01,7,0.0347918208663766,2016-07-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2016-04-01,8,0.0562308555028914,2016-07-01
2016-10-01,0.0618584885869385,532.467081650081,"Adaptive LASSO",0,1996-01-01,2016-07-01,0,0.0618584885869385,2016-10-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2016-07-01,1,0.0322176284353973,2016-10-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2016-07-01,2,0.0289491392370637,2016-10-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2016-07-01,3,0.0481217045407322,2016-10-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2016-07-01,4,0.0264834849154364,2016-10-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2016-07-01,5,0.0169388737526359,2016-10-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2016-07-01,6,-0.0296776191818697,2016-10-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2016-07-01,7,0.00203898622809393,2016-10-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2016-07-01,8,0.0324762860346946,2016-10-01
2017-01-01,0.113658460895853,216.993301630682,"Adaptive LASSO",0,1996-01-01,2016-10-01,0,0.113658460895853,2017-01-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2016-10-01,1,0.0528295846546543,2017-01-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2016-10-01,2,0.014689025694889,2017-01-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2016-10-01,3,0.011242275273435,2017-01-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2016-10-01,4,-0.000883097883735431,2017-01-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2016-10-01,5,0.0032050200360374,2017-01-01
2018-07-01,0.0538478616651387,353.001589785696,"Adaptive LASSO",0,1996-01-01,2016-10-01,6,0.00882433852802258,2017-01-01
2018-10-01,0.00167379496214411,569.011662800501,"Adaptive LASSO",0,1996-01-01,2016-10-01,7,0.0632667646401973,2017-01-01
2019-01-01,-0.0261992050556177,251.646481168881,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.03820487788973,2017-01-01
2019-04-01,NA,342.013447086124,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.0479942453916818,2017-04-01
2019-07-01,NA,372.531061988077,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.0495720142190375,2017-07-01
2019-10-01,NA,569.964869168565,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.0656777368142746,2017-10-01
2020-01-01,NA,245.139158955405,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.111485910965159,2018-01-01
2020-04-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.00036206128299608,2018-04-01
2020-07-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,-0.0227139833042145,2018-07-01
2020-10-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,0.0355308821487568,2018-10-01
2021-01-01,NA,NA,"Adaptive LASSO",0,1996-01-01,2016-10-01,8,-0.0209577142946107,2019-01-01
2017-04-01,0.0910817665046072,299.644549859975,"Adaptive LASSO",0,1996-01-01,2017-01-01,0,0.0910817665046072,2017-04-01
2017-07-01,0.0485977604995622,336.256681067974,"Adaptive LASSO",0,1996-01-01,2017-01-01,1,0.0199631150286947,2017-04-01
2017-10-01,0.00452136516727653,566.444760612486,"Adaptive LASSO",0,1996-01-01,2017-01-01,2,-0.00544756795503086,2017-04-01
2018-01-01,0.0345003041896574,243.112657228025,"Adaptive LASSO",0,1996-01-01,2017-01-01,3,-0.00290134968296483,2017-04-01
2018-04-01,0.0411713503646812,328.218224216033,"Adaptive LASSO",0,1996-01-01,2017-01-01,4,0.0240275276918832,2017-04-01
